Id,Genre,GiaDinh,GiaThong,HocDuong,TichCuc,TieuCuc,TrungTinh
Dataset\GiaDinh_Tichcuc\gd_tic_0001.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0002.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0003.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0004.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0005.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0006.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0007.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0008.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0009.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0010.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0011.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0012.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0013.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0014.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0015.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0016.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0017.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0018.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0019.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0020.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0021.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0022.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0023.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0024.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
Dataset\GiaDinh_Tichcuc\gd_tic_0025.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0
